N_value,P_value,K_value,Fertilizer
2.20,         4.00,         0.57,         30
0.69,         24.00,         0.43,         90
2.09,         6.00,         0.48,         60
0.72,         16.00,         0.64,         90
1.98,         23.00,         0.23,         60
1.07,         23.00,         0.52,         40
2.20,         24.00,         0.72,         10
1.24,         10.00,         0.61,         50
0.37,         19.00,         0.27,         110
1.55,         14.00,         0.72,         50
1.57,         20.00,         0.60,         50
1.12,         12.00,         0.75,         50
1.38,         4.00,         0.39,         45
0.92,         2.00,         0.55,         110
0.98,         20.00,         0.25,         60
0.34,         8.00,         0.36,         100
0.98,         13.00,         0.52,         80
0.87,         6.00,         0.65,         100
1.60,         21.00,         0.32,         40
1.61,         28.00,         0.38,         40
1.75,         0.00,         0.22,         80
1.26,         18.00,         0.52,         40
0.43,         1.00,         0.63,         100
2.29,         8.00,         0.68,         20
0.41,         20.00,         0.62,         100
1.41,         19.00,         0.28,         35
0.60,         20.00,         0.58,         80
1.87,         18.00,         0.39,         40
0.62,         24.00,         0.13,         90
1.68,         10.00,         0.64,         50
2.15,         21.00,         0.65,         10
2.20,         24.00,         0.29,         30
2.08,         21.00,         0.26,         30
0.82,         12.00,         0.29,         60
2.32,         8.00,         0.49,         20
1.68,         26.00,         0.42,         40
0.90,         20.00,         0.38,         80
1.57,         6.00,         0.59,         45
2.03,         29.00,         0.49,         40
1.83,         6.00,         0.55,         45
2.26,         6.00,         0.64,         30
0.72,         16.00,         0.75,         90
1.99,         1.00,         0.19,         90
1.63,         26.00,         0.44,         40
0.94,         22.00,         0.42,         90
2.09,         22.00,         0.64,         80
1.27,         29.00,         0.25,         60
2.19,         11.00,         0.61,         20
0.51,         1.00,         0.21,         115
1.68,         29.00,         0.14,         60
0.73,         16.00,         0.63,         90
1.47,         3.00,         0.57,         40
2.02,         9.00,         0.64,         50
1.30,         23.00,         0.61,         50
1.26,         19.00,         0.39,         40
1.67,         23.00,         0.53,         40
1.73,         6.00,         0.68,         50
2.26,         29.00,         0.29,         30
1.80,         17.00,         0.60,         50
2.14,         21.00,         0.72,         10
1.53,         25.00,         0.72,         50
2.14,         11.00,         0.24,         30
2.10,         4.00,         0.63,         30
1.80,         9.00,         0.28,         35
1.28,         21.00,         0.51,         40
1.63,         0.00,         0.72,         60
2.37,         25.00,         0.49,         25
0.43,         3.00,         0.13,         110
1.65,         24.00,         0.41,         40
1.20,         29.00,         0.35,         40
1.53,         14.00,         0.66,         50
1.35,         11.00,         0.66,         50
1.61,         6.00,         0.30,         45
1.52,         4.00,         0.73,         50
1.50,         21.00,         0.53,         40
2.02,         9.00,         0.38,         40
1.52,         2.00,         0.73,         60
1.86,         23.00,         0.49,         40
1.26,         9.00,         0.24,         35
0.57,         8.00,         0.37,         80
1.15,         27.00,         0.34,         40
1.66,         6.00,         0.43,         45
2.23,         15.00,         0.62,         20
0.71,         15.00,         0.34,         80
0.43,         12.00,         0.51,         100
1.52,         5.00,         0.22,         45
0.58,         7.00,         0.15,         115
1.26,         19.00,         0.72,         50
1.76,         0.00,         0.14,         90
1.95,         25.00,         0.66,         50
0.46,         8.00,         0.31,         100
0.68,         6.00,         0.74,         100
0.57,         2.00,         0.20,         120
1.63,         19.00,         0.61,         50
0.49,         14.00,         0.20,         110
2.12,         5.00,         0.40,         30
2.37,         2.00,         0.33,         50
2.11,         14.00,         0.59,         20
1.65,         18.00,         0.70,         50
1.00,         4.00,         0.51,         60
1.05,         3.00,         0.72,         50
1.44,         16.00,         0.63,         50
2.29,         6.00,         0.13,         50
1.16,         4.00,         0.24,         45
1.66,         14.00,         0.29,         35
2.39,         11.00,         0.67,         20
0.96,         10.00,         0.25,         60
1.12,         15.00,         0.70,         50
0.95,         8.00,         0.46,         80
1.94,         15.00,         0.48,         40
0.69,         12.00,         0.19,         110
1.11,         7.00,         0.57,         45
0.46,         21.00,         0.60,         110
1.03,         4.00,         0.12,         80
1.10,         26.00,         0.65,         50
1.97,         18.00,         0.54,         40
0.53,         23.00,         0.16,         90
0.45,         4.00,         0.56,         90
0.93,         29.00,         0.72,         80
0.98,         25.00,         0.67,         80
1.20,         27.00,         0.48,         40
1.23,         16.00,         0.55,         40
1.15,         20.00,         0.32,         40
1.33,         29.00,         0.55,         40
1.35,         18.00,         0.39,         40
1.20,         7.00,         0.50,         45
1.27,         6.00,         0.74,         50
2.16,         16.00,         0.32,         20
0.91,         2.00,         0.42,         110
1.10,         10.00,         0.55,         40
1.15,         15.00,         0.26,         35
0.69,         23.00,         0.69,         80
0.70,         9.00,         0.69,         90
2.11,         25.00,         0.73,         10
1.42,         27.00,         0.31,         40
2.27,         1.00,         0.22,         50
0.37,         18.00,         0.24,         110
1.02,         22.00,         0.24,         60
1.46,         23.00,         0.56,         40
2.34,         20.00,         0.45,         20
1.54,         6.00,         0.15,         80
0.48,         14.00,         0.39,         100
1.06,         6.00,         0.46,         45
1.92,         0.00,         0.61,         60
2.37,         8.00,         0.67,         20
0.57,         17.00,         0.22,         60
1.50,         20.00,         0.68,         50
1.87,         7.00,         0.46,         45
1.62,         11.00,         0.15,         60
2.01,         21.00,         0.59,         40
0.60,         0.00,         0.28,         115
0.39,         4.00,         0.62,         100
0.32,         11.00,         0.52,         100
1.52,         29.00,         0.64,         50
2.09,         1.00,         0.70,         60
1.84,         19.00,         0.13,         60
1.89,         11.00,         0.24,         35
0.90,         29.00,         0.21,         90
1.47,         7.00,         0.47,         45
1.99,         12.00,         0.38,         40
1.57,         3.00,         0.69,         50
2.21,         21.00,         0.56,         25
0.68,         24.00,         0.34,         90
2.35,         0.00,         0.66,         30
1.45,         10.00,         0.27,         35
2.22,         6.00,         0.26,         40
1.29,         12.00,         0.48,         40
1.50,         20.00,         0.65,         50
2.19,         8.00,         0.59,         20
0.64,         6.00,         0.17,         115
0.43,         8.00,         0.19,         110
1.14,         3.00,         0.51,         40
2.32,         12.00,         0.45,         20
0.71,         21.00,         0.63,         80
1.73,         0.00,         0.35,         55
0.70,         11.00,         0.72,         90
1.46,         25.00,         0.17,         60
0.99,         19.00,         0.58,         80
1.20,         25.00,         0.67,         50
1.89,         9.00,         0.56,         40
1.42,         19.00,         0.33,         40
0.44,         27.00,         0.37,         100
1.03,         27.00,         0.38,         40
1.94,         16.00,         0.56,         40
2.12,         29.00,         0.47,         25
1.52,         27.00,         0.43,         40
1.45,         11.00,         0.20,         60
1.01,         21.00,         0.53,         40
1.23,         24.00,         0.16,         60
0.78,         18.00,         0.60,         90
1.62,         4.00,         0.42,         45
2.22,         2.00,         0.44,         50
2.16,         28.00,         0.74,         10
1.41,         6.00,         0.45,         45
1.86,         9.00,         0.17,         60
0.83,         0.00,         0.41,         110
1.53,         7.00,         0.15,         80
0.44,         22.00,         0.19,         110
2.06,         18.00,         0.60,         100
1.83,         15.00,         0.53,         40
1.91,         11.00,         0.21,         40
1.27,         11.00,         0.34,         40
1.89,         6.00,         0.17,         80
1.31,         20.00,         0.64,         50
1.27,         14.00,         0.69,         50
2.30,         22.00,         0.33,         25
1.61,         22.00,         0.16,         60
1.24,         22.00,         0.31,         40
0.40,         4.00,         0.35,         90
1.86,         26.00,         0.72,         50
0.59,         16.00,         0.45,         80
2.01,         15.00,         0.59,         80
2.30,         18.00,         0.48,         20
0.35,         12.00,         0.39,         100
1.17,         9.00,         0.50,         40
1.08,         11.00,         0.31,         40
2.18,         15.00,         0.67,         20
1.74,         6.00,         0.32,         45
1.04,         4.00,         0.34,         45
1.07,         29.00,         0.55,         40
1.45,         3.00,         0.49,         40
1.48,         16.00,         0.71,         50
0.96,         6.00,         0.19,         115
0.81,         14.00,         0.28,         60
2.29,         9.00,         0.21,         30
1.43,         21.00,         0.18,         60
2.33,         1.00,         0.47,         50
0.56,         14.00,         0.19,         110
0.49,         12.00,         0.45,         100
1.21,         20.00,         0.52,         40
1.97,         25.00,         0.15,         60
1.20,         4.00,         0.68,         50
1.68,         27.00,         0.13,         60
0.76,         23.00,         0.26,         90
1.02,         4.00,         0.37,         45
1.37,         3.00,         0.17,         80
1.25,         8.00,         0.34,         40
0.55,         22.00,         0.15,         90
0.54,         16.00,         0.69,         90
0.53,         16.00,         0.61,         90
1.51,         29.00,         0.54,         40
2.03,         7.00,         0.34,         45
0.77,         6.00,         0.45,         60
2.18,         28.00,         0.70,         10
2.38,         16.00,         0.27,         30
0.62,         27.00,         0.21,         90
1.69,         13.00,         0.58,         40
1.09,         5.00,         0.13,         80
1.25,         24.00,         0.29,         60
2.25,         28.00,         0.40,         25
1.13,         29.00,         0.59,         40
1.18,         29.00,         0.18,         60
0.66,         4.00,         0.39,         60
2.10,         14.00,         0.22,         30
0.58,         7.00,         0.49,         60
1.99,         10.00,         0.70,         50
1.16,         14.00,         0.24,         35
0.39,         6.00,         0.72,         100
1.82,         15.00,         0.49,         40
0.93,         7.00,         0.62,         100
0.53,         15.00,         0.65,         90
1.54,         14.00,         0.43,         40
1.42,         26.00,         0.60,         50
1.81,         8.00,         0.71,         50
2.28,         18.00,         0.27,         30
1.70,         9.00,         0.63,         50
1.70,         1.00,         0.17,         90
1.42,         8.00,         0.44,         40
0.60,         18.00,         0.51,         80
1.91,         25.00,         0.67,         50
2.03,         18.00,         0.59,         40
0.53,         1.00,         0.26,         115
2.20,         27.00,         0.20,         30
1.69,         24.00,         0.41,         40
1.04,         22.00,         0.56,         40
1.19,         22.00,         0.54,         40
0.74,         5.00,         0.29,         100
0.82,         18.00,         0.65,         90
0.42,         27.00,         0.29,         90
2.13,         24.00,         0.42,         25
0.34,         5.00,         0.30,         110
0.93,         9.00,         0.28,         60
0.32,         0.00,         0.27,         115
0.70,         2.00,         0.21,         115
0.71,         4.00,         0.12,         115
0.77,         4.00,         0.21,         100
0.71,         7.00,         0.28,         100
0.52,         0.00,         0.21,         115
0.37,         0.00,         0.18,         120
0.80,         2.00,         0.22,         115
0.85,         0.00,         0.13,         120
0.40,         1.00,         0.24,         115
0.77,         5.00,         0.15,         115
0.65,         3.00,         0.26,         100
0.97,         6.00,         0.17,         115
0.44,         8.00,         0.22,         110
0.76,         3.00,         0.20,         60
0.90,         4.00,         0.20,         100
0.90,         7.00,         0.29,         100
0.80,         0.00,         0.23,         115
0.62,         0.00,         0.15,         120
0.98,         1.00,         0.19,         120
0.80,         4.00,         0.27,         100
0.31,         9.00,         0.23,         110
0.54,         1.00,         0.19,         120
0.69,         7.00,         0.22,         100
0.74,         6.00,         0.12,         115
0.89,         3.00,         0.19,         115
0.80,         5.00,         0.19,         115
0.44,         0.00,         0.14,         120
0.47,         6.00,         0.27,         110
0.44,         4.00,         0.28,         110
0.75,         9.00,         0.20,         110
0.36,         8.00,         0.23,         110
0.89,         7.00,         0.22,         100
0.86,         9.00,         0.22,         60
0.38,         7.00,         0.24,         110
0.95,         3.00,         0.26,         100
0.54,         5.00,         0.14,         115
0.85,         0.00,         0.18,         120
0.93,         4.00,         0.20,         115
0.41,         1.00,         0.13,         120
0.77,         0.00,         0.18,         120
0.90,         2.00,         0.28,         115
0.99,         2.00,         0.17,         120
0.72,         0.00,         0.20,         120
0.80,         8.00,         0.13,         110
0.45,         9.00,         0.23,         110
0.66,         9.00,         0.12,         110
0.63,         9.00,         0.21,         110
0.86,         6.00,         0.18,         115
0.35,         6.00,         0.24,         110
0.64,         9.00,         0.23,         60
0.66,         5.00,         0.26,         100
0.92,         0.00,         0.18,         120
0.33,         6.00,         0.13,         115
0.97,         0.00,         0.21,         115
0.52,         6.00,         0.18,         115
0.94,         6.00,         0.14,         115
0.62,         1.00,         0.25,         115
0.66,         6.00,         0.14,         115
0.71,         8.00,         0.29,         60
0.36,         6.00,         0.29,         110
0.68,         1.00,         0.15,         120
0.69,         8.00,         0.15,         110
0.91,         4.00,         0.27,         100
0.76,         9.00,         0.18,         110
0.40,         0.00,         0.16,         120
0.71,         0.00,         0.21,         120
0.60,         2.00,         0.29,         115
0.62,         5.00,         0.18,         115
0.63,         5.00,         0.22,         100
0.68,         4.00,         0.25,         100
0.75,         4.00,         0.13,         115
0.45,         6.00,         0.14,         115
0.62,         6.00,         0.23,         100
0.90,         8.00,         0.30,         60
0.91,         6.00,         0.24,         100
0.89,         1.00,         0.26,         115
0.91,         6.00,         0.27,         100
0.41,         8.00,         0.23,         110
0.85,         0.00,         0.26,         115
0.72,         1.00,         0.19,         120
0.39,         8.00,         0.27,         110
0.53,         6.00,         0.26,         100
0.73,         4.00,         0.19,         115
0.77,         6.00,         0.28,         100
0.41,         7.00,         0.16,         115
0.56,         0.00,         0.27,         115
0.64,         3.00,         0.17,         120
0.74,         9.00,         0.13,         110
0.95,         2.00,         0.19,         120
0.61,         4.00,         0.29,         100
0.91,         4.00,         0.20,         100
0.85,         6.00,         0.21,         100
0.90,         4.00,         0.18,         115
0.75,         7.00,         0.17,         115
0.43,         3.00,         0.16,         115
0.61,         4.00,         0.27,         100
0.38,         7.00,         0.24,         110
0.82,         5.00,         0.15,         115
0.96,         3.00,         0.18,         115
0.87,         7.00,         0.14,         115
0.81,         4.00,         0.21,         115
0.39,         7.00,         0.17,         115
0.51,         4.00,         0.29,         100
0.70,         4.00,         0.17,         115
0.69,         0.00,         0.20,         120
0.97,         5.00,         0.22,         100
0.90,         1.00,         0.21,         115
0.81,         3.00,         0.14,         120
0.86,         1.00,         0.29,         115
0.33,         2.00,         0.27,         115
0.86,         6.00,         0.17,         115
0.50,         5.00,         0.16,         115
0.48,         1.00,         0.26,         115
0.91,         8.00,         0.20,         60
0.66,         8.00,         0.12,         110
0.92,         2.00,         0.14,         120
0.72,         7.00,         0.26,         100
0.99,         6.00,         0.13,         115
0.56,         4.00,         0.24,         100
0.94,         0.00,         0.22,         115
0.63,         4.00,         0.14,         115
0.41,         4.00,         0.21,         110
0.86,         6.00,         0.14,         115
0.68,         7.00,         0.25,         100
0.64,         6.00,         0.16,         115
0.31,         7.00,         0.16,         115
0.34,         9.00,         0.26,         110
0.96,         3.00,         0.26,         60
0.71,         7.00,         0.14,         115
0.78,         0.00,         0.23,         115
0.68,         0.00,         0.13,         120
0.61,         9.00,         0.19,         110
0.70,         7.00,         0.24,         100
0.40,         7.00,         0.12,         115
0.64,         1.00,         0.20,         120
0.58,         4.00,         0.25,         100
0.43,         6.00,         0.24,         110
0.35,         4.00,         0.19,         115
0.30,         6.00,         0.23,         110
0.83,         4.00,         0.13,         115
0.76,         3.00,         0.12,         115
0.32,         0.00,         0.29,         115
0.93,         0.00,         0.13,         120
0.42,         4.00,         0.16,         115
0.33,         0.00,         0.22,         115
0.33,         7.00,         0.13,         115
0.53,         6.00,         0.15,         115
0.82,         7.00,         0.19,         115
0.37,         6.00,         0.15,         115
0.40,         6.00,         0.20,         115
0.69,         6.00,         0.18,         115
0.72,         0.00,         0.29,         115
0.77,         0.00,         0.27,         115
0.40,         8.00,         0.25,         110
0.92,         0.00,         0.29,         115
0.34,         6.00,         0.20,         115
0.41,         1.00,         0.29,         115
0.49,         0.00,         0.28,         115
0.92,         0.00,         0.22,         115
0.36,         9.00,         0.17,         110
0.78,         0.00,         0.17,         120
0.46,         9.00,         0.18,         110
0.58,         4.00,         0.26,         100
0.55,         7.00,         0.22,         100
0.60,         9.00,         0.16,         110
0.67,         0.00,         0.16,         120
0.72,         4.00,         0.19,         115
0.75,         1.00,         0.21,         115
0.91,         3.00,         0.29,         115
0.55,         9.00,         0.25,         60
0.36,         0.00,         0.17,         120
0.82,         3.00,         0.26,         115
0.37,         4.00,         0.25,         110
0.57,         7.00,         0.12,         115
0.64,         8.00,         0.18,         110
0.35,         8.00,         0.20,         110
0.71,         9.00,         0.24,         60
0.35,         7.00,         0.26,         110
0.42,         9.00,         0.18,         110
0.65,         5.00,         0.25,         100
0.96,         9.00,         0.14,         110
0.32,         8.00,         0.14,         110
0.43,         4.00,         0.12,         115
0.93,         6.00,         0.20,         115
0.95,         4.00,         0.18,         115
0.83,         5.00,         0.16,         115
0.46,         8.00,         0.15,         110
0.81,         2.00,         0.26,         115
0.55,         5.00,         0.16,         115
0.51,         1.00,         0.24,         115
0.54,         3.00,         0.17,         120
0.40,         5.00,         0.17,         115
0.63,         0.00,         0.13,         120
0.31,         1.00,         0.14,         120
0.51,         6.00,         0.28,         100
0.47,         6.00,         0.18,         115
0.80,         0.00,         0.13,         120
0.59,         6.00,         0.17,         115
0.83,         1.00,         0.18,         120
0.39,         8.00,         0.17,         110
0.60,         2.00,         0.18,         120
0.58,         4.00,         0.13,         115
0.62,         5.00,         0.23,         100
0.95,         5.00,         0.24,         100
0.63,         2.00,         0.13,         120
0.67,         2.00,         0.26,         115
0.44,         4.00,         0.18,         115
0.60,         7.00,         0.22,         100
0.67,         0.00,         0.14,         120
0.60,         9.00,         0.19,         110
0.36,         4.00,         0.16,         115
0.34,         0.00,         0.25,         115
0.95,         9.00,         0.14,         110
0.58,         8.00,         0.22,         60
0.96,         8.00,         0.15,         110
0.92,         0.00,         0.16,         120
0.80,         0.00,         0.15,         120
0.46,         6.00,         0.26,         110
0.41,         3.00,         0.18,         115
0.73,         2.00,         0.17,         120
0.59,         2.00,         0.19,         120
0.96,         1.00,         0.18,         120
0.38,         2.00,         0.12,         120
0.74,         6.00,         0.16,         115
0.57,         0.00,         0.24,         115
0.51,         0.00,         0.14,         120
0.99,         8.00,         0.23,         60
0.85,         4.00,         0.25,         100
0.32,         2.00,         0.23,         115
0.84,         9.00,         0.22,         60
0.42,         8.00,         0.26,         110
0.98,         7.00,         0.28,         100
0.80,         3.00,         0.16,         115
0.97,         2.00,         0.17,         120
1.00,         0.00,         0.29,         115
0.88,         1.00,         0.22,         115
0.49,         6.00,         0.26,         110
0.68,         6.00,         0.18,         115
0.35,         7.00,         0.26,         110
0.31,         2.00,         0.25,         115
0.91,         3.00,         0.29,         115
0.71,         2.00,         0.28,         115
0.80,         6.00,         0.21,         100
0.45,         8.00,         0.12,         110
0.30,         7.00,         0.25,         110
1.00,         7.00,         0.23,         100
0.87,         4.00,         0.25,         100
0.80,         8.00,         0.12,         110
0.66,         7.00,         0.22,         100
0.47,         3.00,         0.20,         115
0.69,         4.00,         0.20,         115
0.36,         4.00,         0.26,         110
0.51,         9.00,         0.21,         60
0.51,         2.00,         0.18,         120
0.48,         0.00,         0.23,         115
0.99,         7.00,         0.27,         100
0.58,         2.00,         0.26,         115
0.72,         8.00,         0.13,         110
0.35,         7.00,         0.20,         115
0.89,         9.00,         0.28,         60
0.45,         6.00,         0.23,         110
0.74,         1.00,         0.21,         115
0.45,         2.00,         0.21,         115
0.75,         3.00,         0.14,         120
0.89,         9.00,         0.13,         110
0.66,         1.00,         0.21,         120
0.89,         2.00,         0.20,         120
0.86,         9.00,         0.22,         60
0.56,         3.00,         0.26,         60
0.56,         7.00,         0.19,         115
0.48,         8.00,         0.13,         110
0.69,         2.00,         0.15,         120
0.68,         4.00,         0.23,         100
0.61,         0.00,         0.26,         115
0.77,         6.00,         0.20,         115
0.74,         8.00,         0.19,         110
0.74,         5.00,         0.22,         100
0.78,         8.00,         0.18,         110
0.70,         8.00,         0.21,         60
0.74,         2.00,         0.25,         115
0.76,         9.00,         0.26,         60
0.60,         7.00,         0.29,         100
0.94,         4.00,         0.26,         100
0.53,         6.00,         0.17,         115
0.47,         4.00,         0.28,         110
0.94,         2.00,         0.18,         120
0.61,         3.00,         0.28,         115
0.31,         0.00,         0.23,         115
0.95,         4.00,         0.13,         115
0.99,         2.00,         0.22,         115
0.97,         0.00,         0.30,         115
0.54,         9.00,         0.26,         60
0.39,         6.00,         0.14,         115
0.45,         3.00,         0.19,         115
0.55,         0.00,         0.12,         120
0.89,         7.00,         0.13,         115
0.57,         7.00,         0.28,         100
0.69,         3.00,         0.28,         100
0.90,         0.00,         0.15,         120
0.56,         0.00,         0.23,         115
0.94,         4.00,         0.16,         115
0.89,         6.00,         0.23,         100
0.78,         2.00,         0.20,         120
0.97,         9.00,         0.19,         110
0.75,         8.00,         0.14,         110
0.65,         3.00,         0.19,         110
0.81,         5.00,         0.16,         115
0.72,         3.00,         0.17,         115
0.93,         7.00,         0.26,         100
0.62,         2.00,         0.21,         115
0.33,         4.00,         0.22,         110
0.78,         5.00,         0.25,         100
0.78,         3.00,         0.26,         100
0.55,         4.00,         0.24,         100
0.50,         7.00,         0.20,         115
0.65,         7.00,         0.16,         115
0.33,         0.00,         0.21,         115
0.72,         4.00,         0.29,         100
0.92,         2.00,         0.17,         120
0.31,         8.00,         0.29,         110
0.68,         0.00,         0.13,         120
0.44,         4.00,         0.16,         115
0.50,         9.00,         0.28,         110
0.90,         2.00,         0.26,         115
0.41,         2.00,         0.28,         115
0.78,         4.00,         0.26,         100
0.85,         6.00,         0.20,         100
0.36,         9.00,         0.17,         110
0.45,         9.00,         0.17,         110
0.70,         6.00,         0.14,         115
0.89,         7.00,         0.30,         100
0.53,         4.00,         0.27,         100
0.38,         1.00,         0.13,         120
0.60,         1.00,         0.19,         120
0.50,         4.00,         0.22,         100
0.57,         2.00,         0.19,         120
0.68,         4.00,         0.25,         100
0.95,         7.00,         0.20,         115
0.80,         1.00,         0.16,         120
0.73,         9.00,         0.27,         60
0.68,         4.00,         0.28,         100
0.34,         1.00,         0.13,         120
0.37,         1.00,         0.29,         115
0.45,         9.00,         0.23,         110
0.77,         5.00,         0.30,         100
0.73,         7.00,         0.25,         100
0.82,         5.00,         0.23,         100
0.76,         9.00,         0.30,         60
0.40,         4.00,         0.18,         115
0.37,         1.00,         0.22,         115
0.33,         3.00,         0.30,         115
0.78,         4.00,         0.14,         115
0.55,         1.00,         0.29,         115
0.61,         7.00,         0.14,         115
0.46,         7.00,         0.15,         115
0.34,         3.00,         0.21,         110
0.62,         2.00,         0.15,         120
0.81,         9.00,         0.20,         110
0.85,         7.00,         0.26,         100
0.34,         8.00,         0.20,         110
0.39,         8.00,         0.23,         110
0.89,         3.00,         0.15,         110
0.69,         9.00,         0.19,         110
0.65,         6.00,         0.25,         100
0.73,         4.00,         0.25,         100
0.79,         4.00,         0.19,         115
0.39,         1.00,         0.15,         120
0.32,         9.00,         0.18,         110
0.77,         3.00,         0.30,         60
0.42,         3.00,         0.26,         110
0.42,         3.00,         0.25,         110
0.68,         0.00,         0.16,         120
0.60,         1.00,         0.26,         115
0.61,         0.00,         0.14,         120
1.58,         1.00,         0.22,         80
2.34,         0.00,         0.23,         50
1.27,         8.00,         0.18,         60
1.74,         5.00,         0.29,         45
1.37,         7.00,         0.18,         80
2.30,         6.00,         0.25,         40
2.22,         6.00,         0.25,         40
1.78,         3.00,         0.19,         80
1.76,         5.00,         0.26,         45
1.88,         7.00,         0.26,         45
1.48,         4.00,         0.20,         45
1.38,         9.00,         0.18,         60
1.35,         8.00,         0.30,         35
1.75,         2.00,         0.22,         80
1.16,         4.00,         0.21,         45
1.45,         0.00,         0.28,         80
1.30,         2.00,         0.28,         80
1.80,         8.00,         0.26,         35
1.42,         6.00,         0.15,         80
1.76,         6.00,         0.21,         45
1.74,         7.00,         0.15,         80
1.79,         1.00,         0.25,         80
1.91,         9.00,         0.15,         60
2.02,         5.00,         0.26,         45
1.58,         6.00,         0.21,         45
1.72,         5.00,         0.22,         45
1.53,         4.00,         0.15,         80
1.20,         6.00,         0.19,         80
1.60,         0.00,         0.25,         80
1.60,         4.00,         0.16,         80
1.86,         9.00,         0.26,         35
2.28,         1.00,         0.15,         50
1.56,         0.00,         0.23,         80
2.26,         8.00,         0.17,         50
2.01,         6.00,         0.18,         50
1.43,         4.00,         0.13,         80
2.00,         2.00,         0.26,         80
1.76,         4.00,         0.13,         80
1.22,         4.00,         0.18,         80
1.38,         6.00,         0.17,         80
1.85,         3.00,         0.20,         80
2.10,         4.00,         0.28,         40
1.28,         3.00,         0.14,         80
1.95,         3.00,         0.28,         45
2.04,         5.00,         0.25,         45
1.21,         5.00,         0.27,         45
1.14,         2.00,         0.26,         80
1.26,         0.00,         0.28,         80
1.77,         1.00,         0.27,         80
2.33,         9.00,         0.24,         30
2.31,         6.00,         0.14,         50
1.82,         2.00,         0.21,         90
2.13,         3.00,         0.28,         50
1.58,         4.00,         0.26,         45
2.40,         6.00,         0.26,         40
1.63,         1.00,         0.20,         80
1.22,         8.00,         0.13,         60
2.08,         1.00,         0.15,         90
1.53,         2.00,         0.28,         80
2.08,         9.00,         0.28,         35
2.11,         5.00,         0.15,         50
1.94,         5.00,         0.23,         45
1.31,         6.00,         0.15,         80
2.36,         7.00,         0.23,         40
2.32,         5.00,         0.26,         40
1.85,         8.00,         0.19,         60
1.35,         6.00,         0.20,         80
1.60,         7.00,         0.23,         45
1.50,         5.00,         0.25,         45
1.77,         2.00,         0.25,         80
2.19,         4.00,         0.14,         50
1.23,         9.00,         0.15,         60
1.28,         2.00,         0.22,         80
2.02,         9.00,         0.29,         35
1.97,         9.00,         0.19,         60
1.61,         5.00,         0.19,         80
1.56,         2.00,         0.24,         80
1.52,         2.00,         0.16,         90
1.76,         2.00,         0.16,         90
1.90,         9.00,         0.15,         60
2.35,         2.00,         0.18,         50
2.36,         4.00,         0.16,         50
2.19,         7.00,         0.16,         50
2.38,         5.00,         0.19,         50
1.44,         4.00,         0.20,         80
1.37,         7.00,         0.26,         45
1.85,         3.00,         0.27,         45
1.54,         8.00,         0.23,         35
1.63,         1.00,         0.20,         80
1.83,         8.00,         0.21,         35
1.91,         0.00,         0.20,         80
1.88,         5.00,         0.27,         45
1.59,         3.00,         0.18,         80
1.85,         7.00,         0.13,         80
1.12,         4.00,         0.20,         80
1.42,         2.00,         0.13,         90
2.03,         3.00,         0.18,         90
1.48,         6.00,         0.23,         45
1.35,         5.00,         0.26,         45
1.98,         2.00,         0.26,         80
1.86,         5.00,         0.27,         45
1.51,         1.00,         0.14,         90
1.66,         3.00,         0.18,         90
2.04,         3.00,         0.22,         80
2.19,         1.00,         0.23,         50
1.81,         5.00,         0.12,         80
1.89,         7.00,         0.15,         80
1.80,         2.00,         0.30,         80
1.64,         8.00,         0.25,         35
1.56,         0.00,         0.21,         80
1.23,         3.00,         0.13,         90
1.17,         5.00,         0.13,         80
1.74,         8.00,         0.22,         35
1.28,         6.00,         0.26,         45
1.45,         5.00,         0.22,         45
1.89,         8.00,         0.28,         35
1.48,         2.00,         0.21,         80
2.34,         7.00,         0.12,         50
1.22,         8.00,         0.19,         60
1.68,         7.00,         0.27,         45
1.32,         6.00,         0.25,         45
1.29,         5.00,         0.16,         80
1.43,         4.00,         0.22,         45
1.32,         9.00,         0.20,         60
1.14,         6.00,         0.16,         80
2.35,         9.00,         0.26,         30
1.21,         8.00,         0.26,         35
1.93,         5.00,         0.27,         45
1.15,         1.00,         0.13,         90
2.14,         0.00,         0.13,         50
1.85,         7.00,         0.15,         80
1.98,         0.00,         0.13,         90
1.85,         1.00,         0.21,         80
1.67,         6.00,         0.29,         45
1.84,         5.00,         0.22,         45
1.50,         7.00,         0.21,         45
1.83,         8.00,         0.21,         35
1.75,         3.00,         0.30,         35
2.09,         5.00,         0.19,         80
2.10,         5.00,         0.27,         45
1.46,         2.00,         0.29,         80
2.14,         9.00,         0.19,         50
1.67,         7.00,         0.28,         45
1.14,         6.00,         0.26,         45
1.17,         7.00,         0.18,         80
2.00,         4.00,         0.16,         80
1.32,         6.00,         0.13,         80
2.24,         8.00,         0.27,         30
1.42,         4.00,         0.24,         45
1.88,         7.00,         0.26,         45
2.26,         0.00,         0.28,         50
1.18,         3.00,         0.25,         80
1.74,         1.00,         0.15,         90
2.01,         7.00,         0.28,         45
2.13,         4.00,         0.15,         50
1.66,         7.00,         0.24,         45
1.72,         9.00,         0.21,         35
1.30,         6.00,         0.21,         45
1.23,         5.00,         0.19,         80
1.81,         4.00,         0.22,         45
1.18,         5.00,         0.20,         45
1.36,         7.00,         0.26,         45
1.59,         1.00,         0.23,         80
1.59,         1.00,         0.23,         80
1.75,         2.00,         0.24,         80
